Classification, Text
positive, flying lax to sfo and after looking at the awesome movie lineup i actually wish i was on a long haul 
neutral, book out of town with fares from way restr @jenniferdawnpro
positive, thanks
positive, thanks for taking care of that mr happy customer 
negative, still no refund or word please resolve this issue as your cancelled flightled flight was useless to my assistant s trip 
negative, delayed due to lack of crew and now delayed again because there s a long line for deicing still need to improve service 
positive, thankswe filled it out how s our luck with this is it common 
negative, your eri ord express connections are hugely popular now if only we could have an eri ewr hop
neutral, even on international flight glasgow to the u s then what about orlando to newark all mins 
negative, you think you boarded flight au too early i think so 
neutral, i understandbut it s tough when there is no way to get to the airport w o serious risk of an accident it s a steep price 
negative, gate agent hooked me up with alternate flights if you have a way to prevent the constant issuesthat would rock 
neutral, flying gla mco in a few weeks how long do we have to be at airport for before departure for both international and domestic ta
positive, thanks
positive, thanks it is on the same ticket 
neutral, why not is it a law or a policy 
negative, is the worst nonrefundable first class tickets oh because when you select global fc their system auto selects economy w upgrade 
negative, @cheertymedad so i can buy tix days before flight but can t transfer the tix flawed security logic flawed customer service
negative, i did start a claim but weeks is unrealisticam i really supposed to go that long with out a car seat for my child ridiculous 
positive, follow me please this airline is beautifull ♥
neutral, no i don tbut i m sure united have my info on its system 
negative, if the car seat is lost should just reimburse me for a new onethis is not a pair of shoesit s a necessity for my child 
neutral, just submitted my response on the link you sent 
neutral, yesdavid allan send an email with this number kmm v l km and case# 
negative, @highbuddyyy that totally sucks my cousin worked at phl said 
positive, just wanted to let you know how wonderful rosetta the gate agent was working flight dan to ase let her know she wasappreciated
neutral, yesa paper voucher that i got on january 
negative, beginning of feb i called united they said they would send another voucher by mail never got anything #tiredofwaiting
negative, the internet is a great thing i am emailing executives in your companymaybe they will respond to me in a timely manner 
neutral, do i need to use a chase united club pass for myyr old sonor can he come in with me on my pass 
neutral, and what am i suppose to do with that number 
negative, thats weak see ya 👋 hey 
negative, i flew back w other company since united didnt have an earlier flight
